comp_level,match_number,red,blue,timestamp
qm,77,"frc8177,frc7632,frc51","frc5736,frc9496,frc9545",1744988501
qm,78,"frc801,frc973,frc3130","frc2706,frc781,frc2080",1744988913
qm,79,"frc10157,frc6873,frc9635","frc3928,frc888,frc4907",1744989422
qm,80,"frc195,frc6621,frc1768","frc2783,frc1506,frc70",1744989937
qm,81,"frc4728,frc3794,frc2470","frc4145,frc540,frc2877",1744990439
qm,82,"frc2491,frc2539,frc6647","frc3473,frc1038,frc5817",1744990870
qm,83,"frc2960,frc3882,frc2522","frc4009,frc3045,frc9134",1744991349
qm,84,"frc6324,frc5987,frc7421","frc1700,frc33,frc1902",1744991767
qm,85,"frc2485,frc5181,frc3339","frc8570,frc3970,frc3814",1744992401
qm,86,"frc6652,frc3197,frc3656","frc5985,frc9245,frc8595",1744992896
qm,87,"frc1153,frc5193,frc86","frc2075,frc2767,frc2200",1744993379
qm,88,"frc10224,frc9450,frc5736","frc2383,frc7902,frc4907",1744993828
qm,89,"frc2877,frc9635,frc2080","frc8177,frc10157,frc230",1744994335
qm,90,"frc5817,frc51,frc10479","frc70,frc540,frc801",1744994744
qm,91,"frc9545,frc2491,frc2706","frc3882,frc6873,frc6621",1745000418
qm,92,"frc3045,frc467,frc973","frc2539,frc5987,frc1506",1745000885
qm,93,"frc8570,frc2522,frc6324","frc7632,frc5013,frc2783",1745001337
qm,94,"frc4728,frc3928,frc9245","frc1038,frc7421,frc781",1745001820
qm,95,"frc5181,frc5985,frc6647","frc9134,frc1153,frc1902",1745002358
qm,96,"frc3970,frc8595,frc4009","frc2470,frc7902,frc2485",1745002875
qm,97,"frc10224,frc3197,frc3794","frc5193,frc3130,frc3473",1745003471
qm,98,"frc33,frc1241,frc86","frc1700,frc3656,frc888",1745004201
qm,99,"frc1768,frc2960,frc9496","frc2767,frc4145,frc3339",1745004669
qm,100,"frc3814,frc195,frc2075","frc6652,frc2200,frc2383",1745005166
qm,101,"frc6873,frc8570,frc2877","frc3045,frc801,frc1506",1745005668
qm,102,"frc9245,frc6621,frc5817","frc3882,frc10479,frc6324",1745006187
qm,103,"frc2539,frc540,frc9450","frc2080,frc2522,frc1902",1745006618
qm,104,"frc4009,frc5181,frc5013","frc8595,frc10157,frc7632",1745007080
qm,105,"frc6647,frc7421,frc7902","frc9635,frc3794,frc2706",1745007596
qm,106,"frc9134,frc3656,frc5193","frc51,frc888,frc2485",1745008030
qm,107,"frc4907,frc3130,frc33","frc1768,frc2470,frc8177",1745008419
qm,108,"frc2767,frc2383,frc70","frc1241,frc4728,frc2491",1745009035
qm,109,"frc2783,frc3928,frc2200","frc5987,frc3197,frc9496",1745009575
qm,110,"frc3970,frc9545,frc1038","frc973,frc10224,frc6652",1745010034
qm,111,"frc1700,frc3473,frc467","frc3339,frc5985,frc195",1745010658
qm,112,"frc86,frc230,frc2960","frc781,frc3814,frc1153",1745011144
qm,113,"frc4145,frc5736,frc9635","frc1902,frc2075,frc3882",1745011666
qm,114,"frc888,frc8595,frc2539","frc7421,frc2877,frc6621",1745012183
qm,115,"frc9450,frc9245,frc7632","frc9134,frc3794,frc3130",1745012615
qm,116,"frc2383,frc5013,frc10157","frc1768,frc6647,frc2485",1745013080
qm,117,"frc10479,frc9496,frc8570","frc7902,frc3656,frc2491",1745013591
qm,118,"frc3928,frc2767,frc2470","frc2706,frc6324,frc1506",1745014087
qm,119,"frc2080,frc3339,frc1038","frc5193,frc4009,frc6873",1745014602
qm,120,"frc2200,frc4907,frc4728","frc5181,frc9545,frc5817",1745015084
qm,121,"frc467,frc2075,frc33","frc2522,frc3814,frc51",1745015513
qm,122,"frc1153,frc1700,frc2960","frc2783,frc10224,frc801",1745015963
qm,123,"frc4145,frc6652,frc3473","frc5987,frc230,frc70",1745016391
