comp_level,match_number,red,blue,timestamp
qm,77,"frc5669,frc5805,frc8033","frc2443,frc3952,frc3009",1740858124
qm,78,"frc9271,frc3501,frc4079","frc3473,frc7042,frc4141",1740858646
qm,79,"frc5500,frc5835,frc8","frc4619,frc5199,frc6695",1740859172
sf,1,"frc1538,frc3952,frc2443","frc973,frc3020,frc8",1740871675
sf,1,"frc9408,frc3009,frc5199","frc4415,frc8871,frc6995",1740872734
sf,1,"frc973,frc3020,frc8","frc4738,frc3501,frc8033",1740873294
sf,1,"frc9408,frc3009,frc5199","frc973,frc3020,frc8",1740874675
sf,1,"frc8033,frc3501,frc4738","frc5805,frc5835,frc2710",1740865055
sf,1,"frc9408,frc3009,frc5199","frc973,frc3020,frc8",1740865594
sf,1,"frc6995,frc4415,frc8871","frc4141,frc7157,frc3473",1740866449
sf,1,"frc1538,frc9271,frc2443","frc3476,frc2486,frc7230",1740867056
sf,1,"frc5805,frc5835,frc2710","frc973,frc3020,frc8",1740867633
sf,1,"frc4141,frc7157,frc3473","frc3476,frc2486,frc7230",1740868629
sf,1,"frc8033,frc3501,frc4738","frc9408,frc3009,frc5199",1740869217
sf,1,"frc4415,frc8871,frc6995","frc1538,frc3952,frc2443",1740870252
sf,1,"frc8033,frc3501,frc4738","frc3476,frc2486,frc7230",1740870821
