team_number,nickname,name,city,state_prov,country
33,Killer Bees,Stellantis/Cross the Road Electronics/Aptiv/BAE Systems/Dewalt/Boeing/FANUC America/West Coast Products/Autodesk/PTC Onshape&Notre Dame Preparatory,Bloomfield Hills,Michigan,USA
3339,BumbleB,Gal-Kifuf/Rabina/Unique Designs/Essence/Ledico/Siemens/Ministry of Education/Ministry of Science & Ish Shalom,Kfar Yona,HaMerkaz,Israel
3473,Team Sprocket,"Team Sprocket/Dedicated to Learning, Inc./The Boeing Company/Raytheon/ECS Water Jet Cutting/JLMC Inc. Custom Metal Fabrication & Diamond Bar High School",Diamond Bar,California,USA
3656,Dexter Dreadbots,Dexter Community Schools/Bosch/Michigan DOE/Dexter Lions Club/3.7 Designs&Dexter High School,Dexter,Michigan,USA
3794,Prepa Tecmilenio WinT,ORACLE/SolidWorks/ORACLE ACADEMY/ECOSISTEMAS IOZON/FAMILY WINT&Universidad Tecmilenio,METEPEC,Mexico,Mexico
3814,PiBotics,Duke Energy/RA Jones/Boone County Education Foundation/Bosch/Regal Rexnord Corpoerarion/Ace Machine&Ryle High School&Boone Co High School&Conner High School&Randall K Cooper High School&Ignite Institute Academy,Erlanger,Kentucky,USA
3882,Lunas,Lahainaluna High School Foundation/MEDB Ke Alahele Grant/Boeing Company/Hawaiian Electric/Warren S Unemori Engineering/Goodfellow Brothers/Engineering Dynamics/Maui Oil Company/Tri Isle Inc/Harmer Radio & Electronics/VIP Foods/Nagamine Photo Studio/21st Century Group/EBH Hawaii/Munekiyo Hiraga/Austin Tsutsumi & Associates/Maui Lani/Sam Satos/Brown and Caldwell/Gene Haas Foundation/Maui Gold Pineapple&Lahainaluna High School,Lahaina,Hawaii,USA
3928,Team Neutrino,"Iowa 4-H Foundation & Story County 4-H/Iowa State University College of Engineering/3M/Bayer Fund/John Deere/Terracon Foundation/Intuitive Foundation/Gene Haas Foundation/Danfoss/Collins Aerospace (RTX)/Chevron/Renewable Energy Group/Molex/Workiva, Inc/National Instruments/Emerson/CIT Signature Transportation/Kingland Systems/City of Ames Electric Services/Story County United Way/Interstate Battery - Ames/Ludicrous Creations/The Loft&4-H",Ames,Iowa,USA
3970,Duncan Dynamics,"Fresno Unified School District, College and Career Readiness/NorCal FIRST/Motorola/PDream Maker/Rotary Club of North Fresno/Noe Toribio/ADCO&Duncan Polytechnical High Sch",Fresno,California,USA
4009,Duluth DNA Robotics,In Memory of Steff Fehringer/Irving Community Club/Hartel's Disposal/the Pachel Foundation/Lake Superior Consulting/Kiwanis Club/Twin Ports NECA/ISD 709/Gene Haas&Denfeld Senior High School,Duluth,Minnesota,USA
4145,WorBots,ATS Automations Ohio Inc./AEP Ohio/Lake Shore Cryotronics Inc./L3Harris/Rage Plastics/Columbus Power Coat/JP Morgan and Chase/Vivacolor/The Electric Connection&Thomas Worthington High School&Worthington Kilbourne High Sch,Worthington,Ohio,USA
467,Center of Mass,Shrewsbury High School/Vangy Tool/Mitre & Shrewsbury Senior High School,Shrewsbury,Massachusetts,USA
4728,ROCORI Ratcheteers,Medtronic/Flexible Pipe Tools & Equipment/Cold Spring Lions/UMC/Home Town Pride/COLDSPRING/DCI/Richmond Lions Club/Bicknell and Lehn Family Dentistry/Lakes Eye Clinic/Femrite Enterprises/CMMA/IPM/JV Tooling/Stang Precision/Kerzman Exteriors/Landwehr Tax and Accounting/Cold Spring Family Dentistry/Avon Plastics/Lois Industries/Fall Fabrication/Fastenal&Rocori High School&Rocori Middle School,Cold Spring,Minnesota,USA
4907,Thunderstamps,ETBO Tool & Die Inc & Parkside Collegiate Institute,St. Thomas,Ontario,Canada
5013,Trobots,Park Hill School District/C&C Group&Park Hill High School,Kansas City,Missouri,USA
51,Wings of Fire,GM Propulsion Systems/APTIV/Magna/DTE Foundation/BAE Systems&Pontiac High School&International Technology Acad,Pontiac,Michigan,USA
5181,Explorer Robotics,Aegis Industrial Software Corporation/Vino's Pizza/Explorer 5181 Families/Hillcrest Plaza&La Salle College High School,Wyndmoor,Pennsylvania,USA
5193,Pantheon,Dow Corporation/Nexteer Corporation/Saginaw Public School District/Ya-ya's Restaurant/Women's OBGYN/Mathnasium/Spicer/Corning/Dupont/Barnes and Noble&Saginaw Art & Science Academy,Saginaw,Michigan,USA
540,TALON 540 Godwin Robotics,ShowBest Fixture Inc./Boeing /DuPont Spruance/Onshape by PTC/TKL&Mills Godwin High School,Henrico,Virginia,USA
5736,Kingsmen Robotics,Zebra Technologies/Houslanger and Associates/Kings Park School District&Kings Park High School,Kings Park,New York,USA
5817,Uni-Rex,ADCO Manufacturing/PMMI&Sanger West High School,Fresno,California,USA
5985,Project Bucephalus,Project Bucephalus Pty Ltd/Propel Technologies/TAFE NSW/IronCAD/University of Wollongong/CAD International/PPM/Rack King&Family/Community,Wollongong,New South Wales,Australia
5987,Galaxia in memory of David Zohar,Elbit Systems/The Hebrew Reali school/Sterokem/Yes Planet/Apple/Israel's Ministry of Education/Haifa Technology Center&The Hebrew Reali School in Haifa,Haifa,Haifa,Israel
6324,The Blue Devils,"New Hampshire Department of Education/Salem School District/Exchange Club of Salem, NH/Copium Strategies/Nordson Medical/Edwards Vacuum&Salem High School",Salem,New Hampshire,USA
6621,Artemis,Chatham High School/Gene Haas Foundation/Chatham Education Foundation/Bank of Greene County/Fischer Family/Blasl Funeral Home/Kneller Insurance/Taconic Engineering&Chatham High School,Chatham,New York,USA
6647,PrepaTec - VOLTEC Robotics,PrepaTec/John Deere/Gene Haas Foundation/Qualcomm/Benevity/Sap Labs Latin America/McGraw Hill/Equitek&PrepaTec Eugenio Garza Lagüera,MONTERREY,Nuevo León,Mexico
6652,Tigres,AMI Automation/John Deere&Universidad Autonoma de Nuevo León&Facultad de Ingeniería Mecánica y Eléctrica,San Nicolas de los Garza,Nuevo León,Mexico
70,More Martians,General Motors / State of Michigan / Fiat Chrysler Automotive Foundation / Kettering University / Patti Engineering / Leoni / Midstates Bolt & Screw Co. / Mid Michigan Robotics Alliance / Polyflex Products / Spentech / Ford Motor & Goodrich High School,Goodrich,Michigan,USA
7421,PrepaTec - OVERTURE,PrepaTec Cumbres,Monterrey,Nuevo León,Mexico
781,Kinetic Knights,Kinetic Knights Youth Robotics/Bruce Power/NPX/Royal Canadian Legion Branch 183 Kincardine/McKechnie Pharmacy&Family/Community,Kincardine,Ontario,Canada
7902,Markham FireBirds,Sable Metal Fabrication Inc./Code Ninjas Markham/Molex/Honda Canada Foundation/Box Grove Dental Care/FIRST Canada/The Wang Family/Centerpoint Paint & Decorating/Metal Supermarkets/Entrophe/Markham Trophy Inc./Princess Auto/Solidworks/Bild&Family/Community,Markham,Ontario,Canada
801,Horsepower,Kerschner Family/W&J Construction/Brevard Public Schools/Axient/Brevard County Fire Rescue Station 43/Lockheed Martin/All Points Logistics/Crest Cleaners/BrightAI/Excell Coatings Inc./Alro Steel/ST6 Hydro Cutting/Trade Wind Builders/Miller and Hunt Wealth Advisors&Edgewood Jr Sr High School,Merritt Island,Florida,USA
8177,Vector,Chuck Lorre Family Foundation/NBC Universal/NOV/Tomball ISD/Fast Track Swimming/FTS Pickleball/HPE/America's ER/Home Depot/First in Texas/HEB/Racesource Inc.&Tomball Memorial High School,Tomball,Texas,USA
8595,This Is How We Play,New Taipei City Ger-Jyh,"Sanchong ,Dist.",New Taipei,Chinese Taipei
86,Team Resistance,JEA/Johnson and Johnson Vision Care/State of Florida/Black and Veatch Engineering/Duval County Public Schools/Alro Metals Plus&Family/Community&Renaissance Jax Inc,Jacksonville,Florida,USA
888,Robotiators,NASA Goddard/Whiting-Turner Contracting Company/Maryland Space Business Roundtable(MSBR)/Gene Haas Foundation/Intuitive Foundation/SRC Technologies/J. David Mullinix and Sons&Glenelg High School,Glenelg,Maryland,USA
9134,Tecmilenio - DEVOLT,Gene Haas Foundation&Tecmilenio Campus Chihuahua,Chihuahua,Chihuahua,Mexico
9450,Velocity Raptors,Northshore School District/OSPI/Dunn Lumber/Out of the Box Manufacturing /FIRST/Boeing/SPEEA /NASA/Gene Haas Foundation&Woodinville High School,Woodinville,Washington,USA
9496,LYNK,Fountain Electric & Services/Century Fire Protection/Mack and Pam McKeithan/Parton Lumber/Argosy&Inspire Carolina,Spindale,North Carolina,USA
9545,Caracal Robotics,MEHMET RIFAT EVYAP MESLEKİ VE TEKNİK ANADOLU LİSESİ,SARIYER,Istanbul,Türkiye
973,Greybots,Family/Community,Atascadero,California,USA
10333,Elevation,Cheyenne Mountain High School,Colorado Springs,Colorado,USA
1538,The Holy Cows,Vivid-Hosting/Qualcomm/DOD/Gene Haas Foundation/Lockheed Martin/BlueChip Machine & Fabrication/Northrop Grumman/Westcoast Products/Dassalt Systemes/Coast Air Center/Berggren Family/Chau Family/Bassi Family/Tungend Family&High Tech High School,San Diego,California,USA
1661,Griffitrons,The Buckley School/CalTech/BHIPM/Hurlen Corporation/Adore Creative&The Buckley School,Sherman Oaks,California,USA
