Pre Match.match_num,Pre Match.teamNum,Pre Match.allianceColor,Auton.autonCoral L4,Auton.autonCoral L3,Auton.autonCoral L2,Auton.autonCoral L1,Auton.autonCoralMissed,Auton.autonProc,Auton.autonNet,Match.matchCoral L4,Match.matchCoral L3,Match.matchCoral L2,Match.matchCoral L1,Match.MatchCoralMissed,Match.matchProc,Match.matchNet
45,5181,redAlliance,1,0,0,0,0,0,1,5,2,1,0,2,2,0
46,888,redAlliance,1,0,0,0,2,0,0,3,2,3,1,3,0,0
46,781,blueAlliance,1,0,0,0,0,0,0,3,3,1,0,0,0,5
46,5985,blueAlliance,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,4145,redAlliance,3,0,0,0,0,0,0,2,0,1,1,0,2,1
46,2706,redAlliance,1,0,0,0,0,0,0,0,5,1,1,1,0,0
47,5817,blueAlliance,1,0,0,0,0,0,0,3,5,0,0,1,0,4
47,1506,redAlliance,3,0,0,0,0,0,0,0,5,4,3,2,0,1
47,5013,redAlliance,1,0,0,0,0,0,1,1,1,3,0,3,0,0
47,10224,blueAlliance,0,0,0,0,1,0,0,4,3,0,0,3,0,0
47,3197,redAlliance,3,0,0,0,0,0,0,4,3,2,0,0,0,4
48,2383,blueAlliance,1,0,0,0,0,1,0,2,1,0,6,0,2,0
48,7421,blueAlliance,0,0,0,0,2,0,0,2,2,0,0,5,0,2
48,2470,redAlliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3339,redAlliance,2,0,0,0,0,0,0,5,1,0,0,3,0,5
48,6652,redAlliance,0,0,0,0,1,0,0,0,1,0,1,1,0,0
49,3473,blueAlliance,0,0,0,0,0,0,0,2,3,2,0,0,0,0
49,2080,blueAlliance,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,1153,redAlliance,0,1,1,0,0,0,0,1,6,0,0,0,0,3
49,7632,blueAlliance,2,0,0,0,0,0,0,1,2,1,0,0,0,1
49,6621,blueAlliance,2,0,0,0,1,0,0,1,1,3,6,1,0,0
49,33,redAlliance,2,0,0,0,0,0,0,3,3,1,0,2,0,1
50,2485,redAlliance,3,0,0,0,0,0,0,3,0,0,0,2,1,0
50,2200,blueAlliance,3,0,0,0,0,0,0,1,5,3,2,1,2,0
50,2522,redAlliance,3,0,0,0,0,0,0,2,5,4,0,0,0,0
50,2491,blueAlliance,2,0,0,0,1,0,0,2,2,1,1,3,2,0
50,8177,blueAlliance,1,0,0,0,0,0,0,1,1,2,1,1,0,0
51,3882,redAlliance,0,1,1,0,1,0,0,2,4,3,1,0,0,0
51,3928,redAlliance,0,0,0,0,2,0,0,4,4,4,0,0,0,0
51,3814,blueAlliance,0,0,0,0,0,0,0,1,0,4,0,1,0,0
51,3130,blueAlliance,2,0,0,0,0,0,0,5,4,3,0,1,0,0
51,973,redAlliance,2,0,0,0,1,0,0,3,0,1,1,0,0,4
52,5987,redAlliance,1,0,0,0,0,0,0,3,3,2,0,0,0,3
52,6647,blueAlliance,1,0,0,0,1,0,0,1,4,3,3,1,1,0
52,195,redAlliance,1,0,0,0,0,0,0,2,3,3,0,1,2,0
52,9545,blueAlliance,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,1768,redAlliance,3,0,0,0,1,0,0,2,2,3,0,4,1,2
53,5181,redAlliance,0,0,0,0,0,0,0,3,4,4,0,0,0,0
53,467,blueAlliance,2,1,0,0,0,0,0,4,3,5,0,3,0,0
53,801,redAlliance,2,0,0,0,0,0,0,0,5,1,1,0,0,3
53,1241,blueAlliance,4,0,0,0,0,0,0,2,8,6,0,0,1,2
54,4728,redAlliance,1,0,0,0,1,0,0,3,3,7,0,1,0,0
54,2706,redAlliance,1,0,0,0,0,0,0,2,2,0,1,2,0,0
54,1700,blueAlliance,0,0,0,0,1,0,0,3,0,0,0,2,0,0
54,8570,blueAlliance,0,0,0,0,0,0,0,0,6,4,0,2,0,0
54,5736,blueAlliance,3,0,0,0,0,0,0,6,0,0,0,0,0,0
54,9134,redAlliance,2,0,0,0,0,0,0,3,2,1,0,0,0,0
55,888,redAlliance,5,4,3,0,2,0,0,0,0,0,0,0,0,0
55,5985,redAlliance,1,0,0,0,1,0,0,0,0,0,0,0,0,0
55,1506,blueAlliance,1,0,0,0,0,0,1,3,3,3,0,1,0,1
55,4009,blueAlliance,3,0,0,0,0,0,0,3,0,0,0,1,0,0
55,9496,blueAlliance,3,0,0,0,0,0,0,2,4,4,1,0,0,3
55,9450,redAlliance,0,0,0,0,0,0,0,4,2,0,0,0,0,0
56,10157,redAlliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,6652,redAlliance,0,1,2,0,2,0,0,0,0,0,0,0,0,0
56,1902,redAlliance,0,0,0,1,1,0,0,0,3,1,1,0,0,1
56,7902,blueAlliance,0,1,0,0,0,1,0,5,4,2,1,2,1,2
56,5817,blueAlliance,1,0,0,0,1,0,0,4,0,3,0,1,0,2
56,2783,blueAlliance,1,0,0,0,1,0,0,4,0,3,0,0,0,0
57,7421,blueAlliance,1,0,0,0,0,0,0,0,3,0,0,2,0,5
57,3970,blueAlliance,2,0,0,0,1,0,0,4,5,1,0,2,0,2
57,7632,redAlliance,3,0,0,0,1,0,0,6,6,3,0,1,0,0
57,4145,blueAlliance,2,0,1,0,0,0,0,0,0,0,0,0,0,0
57,5193,redAlliance,0,0,0,0,0,0,0,0,4,0,0,1,0,0
57,3045,redAlliance,0,0,0,0,0,0,0,0,2,3,0,5,2,1
58,5013,blueAlliance,1,0,0,0,1,0,0,1,4,2,0,4,0,0
58,2075,blueAlliance,2,0,0,0,0,0,0,3,0,4,0,1,2,0
58,2539,redAlliance,2,0,0,0,0,0,0,6,0,1,1,0,0,0
58,8177,blueAlliance,1,0,0,0,0,0,0,0,8,1,1,1,0,0
58,9245,redAlliance,0,2,2,0,0,0,0,0,4,4,0,0,2,0
